file name,PR interval duration entropy,P wave duration entropy,QT interval duration entropy,T wave duration entropy,Heart rate,Mean duration or PR interval,Mean duration of P wave,Mean duration of QT interval,Mean duration of RR interval,Mean duration of T wave,Mean duration of QRS complex,Mean amplitude of P wave,Mean apmlitude of QRS complex,Mean amplitude of T wave,RR differences greater than 20 ms,RR differences greater than 50 ms,Root mean square of RR differences,Standard deviation for PR interval duration,Standard deviation for P wave duration,Standard deviation for QT interval duration,Standard deviation for RR differences,Standard deviation for RR interval duration,Standard deviation for T wave,Standard deviation for P wave amplitude,Standard deviation for QRS complex apmplitude,Standard Deviation for T wave amplitude,Standard Deviation for QRS complex duration,Mean aplitude of left segment,Mean amplitude of mid segment,Mean amplitude of right segment,Variance of amplitude of left segment,Variance of amplitude of mid segment,Variance of amplitude of right segment,Skew of amplitude of left segment,Skew of aplitude mid segment,Skew of amplitude right segment,Kurtosis of amplitude on left segment ,Kurtosis of amplitude on mid segment,Kurtosis of amplitude on right segment,Mean wavelet detail coeficient on left segment,Mean wavelet detail coeficient on mid segment,Mean wavelet detail coeficient on right segment,Mean kurtosis on wavelet detail coeficient on left seg.,Mean kurtosis on wavelet detail coeficient on mid seg.,Mean kurtosis on wavelet detail coeficient on right seg.,Mean skew on wavelet detail coeficient on left segment,Mean skew on wavelet detail coeficient on mid segment,Mean skew on wavelet detail coeficient on right segment,Mean std of wavelet detail coefficients from left seg,Mean std of wavelet detail coefficients from mid seg,Mean std of wavelet detail coefficients from right seg
bn_img_0,3.48276130817,3.4724700524,3.57994343284,3.49162238979,100,0.135555555556,0.107222222222,0.420873015873,0.59404040404,0.193253968254,0.153099415205,0.0180277777778,-0.0244473684211,0.0361666666667,0.261538461538,0.153846153846,0.124967004192,0.0234520787991,0.0299330528734,0.0900471937516,0.124899644133,31.3148793908,0.0769748398915,0.0888613889753,0.615432309076,0.129445735398,0.0353035273661,0.0903065902579,0.103365269461,0.0844888579387,0.00913823551531,0.0180435132848,0.00617059249424,3.67827513071,2.56705224156,0.820428598128,21.1651345701,8.92580423788,0.495268501031,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_10,3.26798175283,3.29554050195,2.45499733131,2.49959708886,84,0.224333333333,0.373666666667,0.740512820513,0.713393939394,0.435641025641,0.548424242424,-0.0226166666667,0.0189181818182,-0.0136923076923,0.425925925926,0.388888888889,0.2566670675,0.142950781481,0.260061744805,0.383663951412,0.256582069384,62.1439650867,0.213503075962,0.16184708232,0.323731605496,0.236150663973,0.4877898432,0.177075342466,0.171859030837,0.286904761905,0.00822645322762,0.0010737862951,0.0146166575964,1.00186574085,0.94349607674,0.859968053122,10.4901771919,3.8151122951,-0.671723736677,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_100,3.38772400715,3.36922589776,2.39721752083,2.46052511509,70,0.177047619048,0.105196078431,0.562777777778,0.850652173913,0.313333333333,0.0986231884058,0.0275882352941,0.252315217391,0.0235416666667,0.266666666667,0.111111111111,0.089073419571,0.0176701960279,0.0110610656884,0.0686892267866,0.0890733887708,15.8520600296,0.0801734231387,0.0333674882686,0.559913739073,0.108012626255,0.0578836751491,-0.033788874842,-0.0461930501931,0.00524537815126,0.00226415138066,0.00384303222969,0.00157347256267,0.268364125128,-0.664710792616,0.863509619615,-0.998712981964,-0.148126676108,0.673339116116,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_101,3.16769214725,3.29393840689,3.42683744953,3.45088943864,118,0.131182795699,0.208494623656,0.422368421053,0.49325,0.218684210526,0.235763888889,0.0174838709677,-0.0197708333333,0.164802631579,0.164556962025,0.113924050633,0.103291811448,0.0385354502069,0.189730687666,0.196660582562,0.103291811448,21.8202744025,0.156138601409,0.200875803544,0.678023690269,0.248229587582,0.217337358926,-0.0362742857143,0.00974375,-0.0410976095618,0.0153299704816,0.00972028121094,0.00114393270345,-2.51366801206,0.77445260987,0.0835204625977,22.2592808016,2.30049097172,-0.981712647026,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_102,1.96757949723,2.03300019998,2.03300019998,2.02470344664,43,0.159583333333,0.108333333333,0.6575,1.77719298246,0.340833333333,0.235555555556,0.1206875,0.354222222222,-0.0580625,0.555555555556,0.555555555556,1.3864102327,0.0236547798787,0.0355512150128,0.203140277203,1.38635635773,258.73137119,0.195354023364,0.180807206974,0.801802850911,0.412875165569,0.17032285972,-0.29341221374,-0.473653846154,-0.368837253655,0.280096517103,0.122897354536,0.0922833848296,0.123789630873,0.268873180219,0.0918221531505,-0.759427438713,-1.56495018578,0.0478106884278,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_103,3.10248622171,3.0602424689,3.74192745115,3.83550597267,140,0.147536231884,0.1776,0.365220125786,0.43358974359,0.188553459119,0.212259259259,0.00284,-0.569655555556,0.190198113208,0.233333333333,0.2,0.164797294117,0.0401593130716,0.157828373734,0.162877054164,0.16473225148,34.6905411212,0.169972879122,0.181822040468,0.458527823247,0.124359124648,0.141606155075,0.241918032787,0.316460526316,0.314897058824,0.00950293590433,0.00522820458218,0.00285973940311,-3.3990230783,0.98460882198,1.69568020255,12.0117193812,0.654838916842,1.86566971046,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_104,2.49959708886,2.60669560832,2.30964993921,2.38372384897,42,0.159230769231,0.117380952381,0.784545454545,1.31540229885,0.458055555556,0.254444444444,0.0409285714286,-0.144444444444,0.0722916666667,0.5,0.464285714286,1.18667251871,0.0694441157126,0.0343460117929,0.766321757366,1.1862076032,236.601135887,0.685543118472,0.1093707419,0.564979765835,0.243634670009,0.226817306516,0.00231111111111,0.0448208232446,0.0201329252296,0.00926017876543,0.00171070881579,0.0108728690821,-1.23009273813,1.76568428459,0.427726682429,0.865714552301,3.76621122354,0.130897846444,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_105,3.0480796309,3.29754033629,3.08558545336,3.23359792675,83,0.165555555556,1.01540229885,1.47192307692,0.667401129944,1.1591954023,1.29987421384,0.0217068965517,-0.00312264150943,0.0384310344828,0.48275862069,0.413793103448,0.730605165631,0.0901884173122,0.79901587639,0.931015975276,0.730528632908,157.04377753,0.906666943531,0.292843329811,0.536901601133,0.451067139359,0.883222839242,0.122166666667,0.12727027027,0.16425,3.65833333333e-05,0.00451771073776,0.0109105708333,1.08104304853,1.04111178181,0.273412329047,-0.434351558298,0.49188590024,-0.396369874603,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_11,1.74806734855,1.85627012819,1.73476452103,1.66094743329,55,0.163888888889,0.11380952381,0.559444444444,1.11761904762,0.253888888889,0.178666666667,0.0222857142857,-0.2742,0.0699166666667,0.411764705882,0.411764705882,0.507926388059,0.0343412432456,0.044665549788,0.10178802714,0.507656080699,106.19162502,0.0349823588698,0.0376068545641,0.4245022497,0.278129678487,0.0731239434871,0.230105769231,0.378491525424,0.257989361702,0.000854556120562,0.0564640973858,0.00182896797193,0.910748602351,1.92285908276,-1.36657431331,-0.761540907861,2.21680198961,2.7070497551,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
bn_img_12,1.05492016799,1.32966134885,1.05492016799,1.09861228867,157,0.157777777778,0.116666666667,0.335555555556,0.326120218579,0.111111111111,0.16,-0.29275,-0.18025,-0.00783333333333,0.363636363636,0.314049586777,0.208086961761,0.082297263054,0.0262466929134,0.032241373619,0.20804200882,52.8231445572,0.0245452467049,0.230014809306,0.259504937333,0.0275993156115,0.0647216261298,0.0720392156863,0.0907941176471,0.0976140350877,1.57631680123e-05,0.00168798702422,0.000953815943367,-0.252704594561,0.158830664451,0.558115402666,-1.72737861273,-1.80504946079,-1.09967899644,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
